"MTU (UTC)","Area","Sequence","Day-ahead Price (GBP/MWh)","Intraday Period (UTC)","Intraday Price (GBP/MWh)"
"08/01/2015 21:00:00 - 08/01/2015 22:00:00","BZN|GB","Without Sequence","37.91","",""
"08/01/2015 22:00:00 - 08/01/2015 23:00:00","BZN|GB","Without Sequence","35.59","",""
"08/01/2015 23:00:00 - 09/01/2015 00:00:00","BZN|GB","Without Sequence","35.18","",""
"09/01/2015 00:00:00 - 09/01/2015 01:00:00","BZN|GB","Without Sequence","35.37","",""
"09/01/2015 01:00:00 - 09/01/2015 02:00:00","BZN|GB","Without Sequence","32.99","",""
"09/01/2015 02:00:00 - 09/01/2015 03:00:00","BZN|GB","Without Sequence","28.08","",""
"09/01/2015 03:00:00 - 09/01/2015 04:00:00","BZN|GB","Without Sequence","19.30","",""
"09/01/2015 04:00:00 - 09/01/2015 05:00:00","BZN|GB","Without Sequence","19.59","",""
"09/01/2015 05:00:00 - 09/01/2015 06:00:00","BZN|GB","Without Sequence","25.67","",""
"09/01/2015 06:00:00 - 09/01/2015 07:00:00","BZN|GB","Without Sequence","37.91","",""
"09/01/2015 07:00:00 - 09/01/2015 08:00:00","BZN|GB","Without Sequence","38.46","",""
"09/01/2015 08:00:00 - 09/01/2015 09:00:00","BZN|GB","Without Sequence","38.00","",""
"09/01/2015 09:00:00 - 09/01/2015 10:00:00","BZN|GB","Without Sequence","43.06","",""
"09/01/2015 10:00:00 - 09/01/2015 11:00:00","BZN|GB","Without Sequence","45.09","",""
"09/01/2015 11:00:00 - 09/01/2015 12:00:00","BZN|GB","Without Sequence","49.98","",""
"09/01/2015 12:00:00 - 09/01/2015 13:00:00","BZN|GB","Without Sequence","39.14","",""
"09/01/2015 13:00:00 - 09/01/2015 14:00:00","BZN|GB","Without Sequence","35.59","",""
"09/01/2015 14:00:00 - 09/01/2015 15:00:00","BZN|GB","Without Sequence","35.56","",""
"09/01/2015 15:00:00 - 09/01/2015 16:00:00","BZN|GB","Without Sequence","36.54","",""
"09/01/2015 16:00:00 - 09/01/2015 17:00:00","BZN|GB","Without Sequence","49.99","",""
"09/01/2015 17:00:00 - 09/01/2015 18:00:00","BZN|GB","Without Sequence","59.97","",""
"09/01/2015 18:00:00 - 09/01/2015 19:00:00","BZN|GB","Without Sequence","40.04","",""
"09/01/2015 19:00:00 - 09/01/2015 20:00:00","BZN|GB","Without Sequence","39.99","",""
"09/01/2015 20:00:00 - 09/01/2015 21:00:00","BZN|GB","Without Sequence","37.38","",""
"09/01/2015 21:00:00 - 09/01/2015 22:00:00","BZN|GB","Without Sequence","36.91","",""
"09/01/2015 22:00:00 - 09/01/2015 23:00:00","BZN|GB","Without Sequence","35.07","",""
"09/01/2015 23:00:00 - 10/01/2015 00:00:00","BZN|GB","Without Sequence","34.99","",""
"10/01/2015 00:00:00 - 10/01/2015 01:00:00","BZN|GB","Without Sequence","33.71","",""
"10/01/2015 01:00:00 - 10/01/2015 02:00:00","BZN|GB","Without Sequence","32.93","",""
"10/01/2015 02:00:00 - 10/01/2015 03:00:00","BZN|GB","Without Sequence","28.99","",""
"10/01/2015 03:00:00 - 10/01/2015 04:00:00","BZN|GB","Without Sequence","20.30","",""
"10/01/2015 04:00:00 - 10/01/2015 05:00:00","BZN|GB","Without Sequence","16.35","",""
"10/01/2015 05:00:00 - 10/01/2015 06:00:00","BZN|GB","Without Sequence","15.77","",""
"10/01/2015 06:00:00 - 10/01/2015 07:00:00","BZN|GB","Without Sequence","23.64","",""
"10/01/2015 07:00:00 - 10/01/2015 08:00:00","BZN|GB","Without Sequence","25.99","",""
"10/01/2015 08:00:00 - 10/01/2015 09:00:00","BZN|GB","Without Sequence","30.00","",""
"10/01/2015 09:00:00 - 10/01/2015 10:00:00","BZN|GB","Without Sequence","37.81","",""
"10/01/2015 10:00:00 - 10/01/2015 11:00:00","BZN|GB","Without Sequence","38.64","",""
"10/01/2015 11:00:00 - 10/01/2015 12:00:00","BZN|GB","Without Sequence","42.29","",""
"10/01/2015 12:00:00 - 10/01/2015 13:00:00","BZN|GB","Without Sequence","39.10","",""
"10/01/2015 13:00:00 - 10/01/2015 14:00:00","BZN|GB","Without Sequence","36.91","",""
"10/01/2015 14:00:00 - 10/01/2015 15:00:00","BZN|GB","Without Sequence","35.99","",""
"10/01/2015 15:00:00 - 10/01/2015 16:00:00","BZN|GB","Without Sequence","33.99","",""
"10/01/2015 16:00:00 - 10/01/2015 17:00:00","BZN|GB","Without Sequence","35.59","",""
"10/01/2015 17:00:00 - 10/01/2015 18:00:00","BZN|GB","Without Sequence","59.90","",""
"10/01/2015 18:00:00 - 10/01/2015 19:00:00","BZN|GB","Without Sequence","46.97","",""
"10/01/2015 19:00:00 - 10/01/2015 20:00:00","BZN|GB","Without Sequence","46.02","",""
"10/01/2015 20:00:00 - 10/01/2015 21:00:00","BZN|GB","Without Sequence","35.30","",""
"10/01/2015 21:00:00 - 10/01/2015 22:00:00","BZN|GB","Without Sequence","34.00","",""
"10/01/2015 22:00:00 - 10/01/2015 23:00:00","BZN|GB","Without Sequence","33.04","",""
"10/01/2015 23:00:00 - 11/01/2015 00:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 00:00:00 - 11/01/2015 01:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 01:00:00 - 11/01/2015 02:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 02:00:00 - 11/01/2015 03:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 03:00:00 - 11/01/2015 04:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 04:00:00 - 11/01/2015 05:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 05:00:00 - 11/01/2015 06:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 06:00:00 - 11/01/2015 07:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 07:00:00 - 11/01/2015 08:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 08:00:00 - 11/01/2015 09:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 09:00:00 - 11/01/2015 10:00:00","BZN|GB","Without Sequence","0.00","",""
"11/01/2015 10:00:00 - 11/01/2015 11:00:00","BZN|GB","Without Sequence","0.00","",""
